,Algoritmo,Objetivo,Tempo de Processamento
0,Busca em Largura,1,14
1,Busca em Largura,2,6
2,Busca em Largura,3,6
3,Busca em Largura,4,9
4,Busca em Largura,5,12
5,Busca em Largura,6,18
6,Busca em Largura,7,26
7,Busca em Largura,8,38
8,Busca em Largura,9,52
9,Busca em Largura,10,119
10,Busca em Largura,11,109
11,Busca em Largura,12,163
12,Busca em Largura,13,235
13,Busca em Largura,14,359
14,Busca em Largura,15,477
15,Busca em Largura,16,722
16,Busca em Largura,17,994
17,Busca em Largura,18,1434
18,Busca em Largura,19,35837
19,Busca em Largura,20,2971
20,Busca em Largura,21,4089
21,Busca em Largura,22,5933
22,Busca em Largura,23,7989
23,Busca em Largura,24,45810
24,Busca em Largura,25,48805
25,Busca em Largura,26,58312
26,Busca em Largura,27,65224
27,Busca em Largura,28,121597
28,Busca em Largura,29,175921
29,Busca em Largura,30,263647
30,Busca em Largura,31,257064
31,Busca em Largura,32,467606
32,Busca em Largura,33,663347
33,Busca em Largura,34,832828
34,Busca em Largura,35,146784
35,Busca em Largura,36,515678
36,Busca em Largura,37,75078
37,Busca em Largura,38,373826
38,Busca em Largura,39,884260
39,Busca em Largura,40,175159
40,Busca em Largura,41,221338
41,Busca em Largura,42,846076
42,Busca em Largura,43,525514
43,Busca em Largura,44,383122
44,Busca em Largura,45,668131
45,Busca em Largura,46,575851
46,Busca em Largura,47,190036
47,Busca em Largura,48,223425
48,Busca em Largura,49,558691
49,Busca em Largura,50,493221
